python3 brench-pipeless/brench.py benchmark.toml
benchmark,run,result
std_lt,baseline,3263
std_lt,10,272
std_lt,100,3450
std_lt,1000,5304
std_lt,10000,24081
std_lt,100000,232006
std_lt,1000000,2677184
std_lsh,baseline,335
std_lsh,10,2517
std_lsh,100,2508
std_lsh,1000,2826
std_lsh,10000,30339
std_lsh,100000,245975
std_lsh,1000000,3825400
std_xor,baseline,308
std_xor,10,2405
std_xor,100,2919
std_xor,1000,2880
std_xor,10000,40663
std_xor,100000,287326
std_xor,1000000,4138061
std_ge,baseline,1694
std_ge,10,289
std_ge,100,462
std_ge,1000,3044
std_ge,10000,21096
std_ge,100000,317378
std_ge,1000000,3786304
fib,baseline,3526
fib,10,4101
fib,100,9033
fib,1000,68666
fib,10000,931622
fib,100000,9883854
fib,1000000,53620569
gen_xor_cat,baseline,2884
gen_xor_cat,10,784
gen_xor_cat,100,3869
gen_xor_cat,1000,42812
gen_xor_cat,10000,408114
gen_xor_cat,100000,4392307
gen_xor_cat,1000000,27546201
std_neq,baseline,277
std_neq,10,432
std_neq,100,2912
std_neq,1000,3949
std_neq,10000,37610
std_neq,100000,339267
std_neq,1000000,3787787
std_slice,baseline,2294
std_slice,10,351
std_slice,100,500
std_slice,1000,1858
std_slice,10000,23084
std_slice,100000,253862
std_slice,1000000,2787079
std_rsh,baseline,374
std_rsh,10,435
std_rsh,100,3073
std_rsh,1000,7497
std_rsh,10000,52978
std_rsh,100000,433194
std_rsh,1000000,4213169
std_not,baseline,1895
std_not,10,332
std_not,100,449
std_not,1000,5807
std_not,10000,27630
std_not,100000,375920
std_not,1000000,3492400
std_or,baseline,389
std_or,10,3029
std_or,100,908
std_or,1000,4060
std_or,10000,58054
std_or,100000,543566
std_or,1000000,5043531
std_add,baseline,378
std_add,10,7011
std_add,100,913
std_add,1000,7106
std_add,10000,64308
std_add,100000,542941
std_add,1000000,5451480
std_cat,baseline,392
std_cat,10,784
std_cat,100,5198
std_cat,1000,6046
std_cat,10000,52647
std_cat,100000,404735
std_cat,1000000,4436726
std_eq,baseline,452
std_eq,10,344
std_eq,100,898
std_eq,1000,4001
std_eq,10000,50313
std_eq,100000,495705
std_eq,1000000,4196810
std_pad,baseline,348
std_pad,10,3768
std_pad,100,636
std_pad,1000,3061
std_pad,10000,30811
std_pad,100000,283969
std_pad,1000000,2450003
std_gt,baseline,365
std_gt,10,419
std_gt,100,807
std_gt,1000,6788
std_gt,10000,41942
std_gt,100000,439662
std_gt,1000000,3569284
std_sub,baseline,414
std_sub,10,2435
std_sub,100,941
std_sub,1000,8726
std_sub,10000,68504
std_sub,100000,549878
std_sub,1000000,4642629
std_and,baseline,406
std_and,10,457
std_and,100,3603
std_and,1000,8975
std_and,10000,58073
std_and,100000,493242
std_and,1000000,3504729
std_le,baseline,3270
std_le,10,456
std_le,100,857
std_le,1000,5264
std_le,10000,31568
std_le,100000,386336
std_le,1000000,2562950
std_mux,baseline,338
std_mux,10,2375
std_mux,100,3618
std_mux,1000,6015
std_mux,10000,50532
std_mux,100000,372385
std_mux,1000000,3199439
