python3 brench-pipeless/brench.py benchmark.toml
benchmark,run,result
std_lt,baseline,3108
std_lt,10,288
std_lt,100,636
std_lt,1000,5274
std_lt,10000,17875
std_lt,100000,248822
std_lt,1000000,2885237
std_lsh,baseline,2999
std_lsh,10,271
std_lsh,100,1912
std_lsh,1000,6927
std_lsh,10000,35186
std_lsh,100000,320427
std_lsh,1000000,3379309
std_xor,baseline,309
std_xor,10,1762
std_xor,100,3139
std_xor,1000,6423
std_xor,10000,39742
std_xor,100000,315619
std_xor,1000000,3719730
std_ge,baseline,324
std_ge,10,267
std_ge,100,524
std_ge,1000,5734
std_ge,10000,29304
std_ge,100000,311818
std_ge,1000000,3301387
fib,baseline,434
fib,10,1482
fib,100,9995
fib,1000,84339
fib,10000,821671
fib,100000,9347325
fib,1000000,56670254
gen_xor_cat,baseline,354
gen_xor_cat,10,2795
gen_xor_cat,100,2749
gen_xor_cat,1000,37692
gen_xor_cat,10000,372670
gen_xor_cat,100000,3864839
gen_xor_cat,1000000,27180949
std_neq,baseline,345
std_neq,10,2957
std_neq,100,4428
std_neq,1000,4101
std_neq,10000,39134
std_neq,100000,377595
std_neq,1000000,3307410
std_slice,baseline,2203
std_slice,10,1969
std_slice,100,2227
std_slice,1000,2246
std_slice,10000,24569
std_slice,100000,203648
std_slice,1000000,2423257
std_rsh,baseline,320
std_rsh,10,426
std_rsh,100,2683
std_rsh,1000,6083
std_rsh,10000,48244
std_rsh,100000,356281
std_rsh,1000000,3606313
std_not,baseline,320
std_not,10,2208
std_not,100,655
std_not,1000,3684
std_not,10000,24800
std_not,100000,337272
std_not,1000000,3221025
std_or,baseline,348
std_or,10,2426
std_or,100,2859
std_or,1000,7071
std_or,10000,49326
std_or,100000,446761
std_or,1000000,5036089
std_add,baseline,2420
std_add,10,2351
std_add,100,862
std_add,1000,5772
std_add,10000,50952
std_add,100000,513101
std_add,1000000,5584209
std_cat,baseline,2702
std_cat,10,446
std_cat,100,3297
std_cat,1000,8164
std_cat,10000,48424
std_cat,100000,383683
std_cat,1000000,4888731
std_eq,baseline,402
std_eq,10,2545
std_eq,100,3319
std_eq,1000,8374
std_eq,10000,49163
std_eq,100000,488516
std_eq,1000000,4490358
std_pad,baseline,373
std_pad,10,417
std_pad,100,620
std_pad,1000,15996
std_pad,10000,25973
std_pad,100000,291713
std_pad,1000000,2858839
std_gt,baseline,2873
std_gt,10,500
std_gt,100,955
std_gt,1000,4794
std_gt,10000,49678
std_gt,100000,464012
std_gt,1000000,3498749
std_sub,baseline,2990
std_sub,10,513
std_sub,100,1129
std_sub,1000,9567
std_sub,10000,72469
std_sub,100000,676325
std_sub,1000000,4007623
std_and,baseline,436
std_and,10,2261
std_and,100,899
std_and,1000,17459
std_and,10000,54409
std_and,100000,554117
std_and,1000000,3223313
std_le,baseline,858
std_le,10,3741
std_le,100,814
std_le,1000,4590
std_le,10000,44002
std_le,100000,380305
std_le,1000000,2295944
std_mux,baseline,369
std_mux,10,304
std_mux,100,2628
std_mux,1000,5677
std_mux,10000,50974
std_mux,100000,362765
std_mux,1000000,2807314
